NodeNo,g50_250,g50_500,g50_1000,g50_2000,g50_4000,g50_6000,g80_250,g80_500,g80_1000,g80_2000,g80_4000,g80_6000,g65_250,g65_500,g65_1000,g65_2000,g65_4000,g65_6000,CR_250,CR_500,CR_1000,CR_2000,CR_4000,CR_6000,kneelow_250,kneelow_500,kneelow_1000,kneelow_2000,kneelow_4000,kneelow_6000,mpoband_250,mpoband_500,mpoband_1000,mpoband_2000,mpoband_4000,mpoband_6000,audiogram_500,audiogram_1000,audiogram_2000,audiogram_3000,audiogram_4000,audiogram_6000,audiogram_8000,cal_g65_250,cal_g65_500,cal_g65_1000,cal_g65_2000,cal_g65_4000,cal_g65_6000,cal_CR_250,cal_CR_500,cal_CR_1000,cal_CR_2000,cal_CR_4000,cal_CR_6000,cal_kneelow_250,cal_kneelow_250,cal_kneelow_1000,cal_kneelow_2000,cal_kneelow_4000,cal_kneelow_6000
23,0,0,0,0.75732,6.71775,4.82075,0,0,0,0,0,0,0,0,0,0,0.603988,0.243196,1,1,1,1.0259,1.28854,1.19146,52,52,52,52,52,52,82.6225,87.7422,88.7148,92.9399,98.2605,96.1898,8.78758,8.09893,11.1639,20.3589,29.7284,25.9214,21.1009,8,5,1,4,6.603988,7.243196,1,1,1.123,1.1931217,1.5977896,1.072314,20,25,30,30,35,40
24,1.53652,1.81084,7.57068,10.4751,15.0174,15.028,0,0,0,0,0,0,0,0,3.48779,2.79662,6.48267,7.79161,1.05398,1.06424,1.33753,1.5365,2.00232,2.00375,52,52,52,52,52,52,85.5249,90.9348,92.4254,97.2988,101.794,101.794,20.3971,20.6771,27.3079,39.5475,44.4499,44.4368,44.4499,8,5,4.48779,6.79662,12.48267,14.79161,1.05398,1.06424,1.50204619,1.7869495,2.4828768,1.803375,20,25,30,30,35,40
25,0,0.188295,2.01231,2.14883,7.54272,7.95306,0,0,0,0,0,0,0,0,0.545146,0,0.682879,1.70678,1,1.00632,1.0719,1.07715,1.33587,1.36073,52,52,52,52,52,52,84.0268,89.2869,89.9017,93.4785,96.9913,101.717,14.4046,12.1224,13.1588,17.6985,24.4405,36.1632,44.1318,8,5,1.545146,4,6.682879,8.70678,1,1.00632,1.2037437,1.25272545,1.6564788,1.224657,20,25,30,30,35,40
26,7.569,7.79022,13.4281,14.3913,15.3468,16.3973,0,0,0.0151976,0,0,0,0.488245,0.578662,7.22254,6.13279,6.9204,8.867,1.33743,1.35076,1.80863,1.92201,2.04733,2.20545,52,52,52,52,52,52,88.1456,93.8176,95.8622,99.7642,101.243,102.382,30.8799,32.3273,36.4391,39.9589,42.1546,44.6628,46.8997,8.488245,5.578662,8.22254,10.13279,12.9204,15.867,1.33743,1.35076,2.03109149,2.23529763,2.5386892,1.984905,20,25,30,30,35,40
27,0,0,1.2252,4.64908,11.8994,7.80832,0,0,0,0,0,0,0,0,0,0,4.54623,3.16047,1,1,1.04258,1.18339,1.6574,1.35186,52,52,52,52,52,52,83.305,88.4929,89.519,94.4733,102.175,96.5635,11.5173,10.8248,16.8432,35.9572,46.0387,32.5662,22.6578,8,5,1,4,10.54623,10.16047,1,1,1.17081734,1.37628257,2.055176,1.216674,20,25,30,30,35,40
28,5.19186,5.72902,14.2645,17.5818,21.0914,21.382,0,0,0,0,0.937776,4.05332,0,0,6.95537,7.9894,11.0479,12.6683,1.20928,1.23604,1.90652,2.41582,3.0468,2.36755,52,52,52,52,52,52,88.0159,93.675,96.1885,102.207,106.43,110.492,30.3612,33.4334,45.487,56.039,61.1972,66.2541,69.2411,8,5,7.95537,11.9894,17.0479,19.6683,1.20928,1.23604,2.14102196,2.80959866,3.778032,2.130795,20,25,30,30,35,40
29,0.51971,1.55176,5.8016,5.20751,12.4264,12.649,0,0,0,0,0,0,0,0,3.09357,0,4.42298,5.96078,1.01763,1.05455,1.23975,1.21004,1.7071,1.72901,52,52,52,52,52,52,84.5403,89.8518,90.7874,95.1479,100.992,109.507,16.4588,15.1247,19.3416,30.7727,41.1088,55.6895,67.2904,8,5,4.09357,4,10.42298,12.96078,1.01763,1.05455,1.39223925,1.40727652,2.116804,1.556109,20,25,30,30,35,40
30,10.9985,12.488,18.5491,18.3673,19.3628,20.5014,0,0,0,0,0,2.57338,2.58452,3.02627,8.5965,7.97047,9.32594,11.505,1.57883,1.71312,2.61988,2.57893,2.8203,2.4851,52,52,52,52,52,52,92.0913,98.1579,100.966,104.531,105.814,110.694,46.6628,49.6279,54.093,56.5349,59.9767,65.4884,69.6395,10.58452,8.02627,9.5965,11.97047,15.32594,18.505,1.57883,1.71312,2.94212524,2.99929559,3.497172,2.23659,20,25,30,30,35,40
31,1.38554,2.06721,11.7035,17.4823,21.8213,21.7222,0,0,0,0,1.47889,4.57239,0,0,5.96103,8.1959,11.7148,13.1172,1.04842,1.07401,1.63966,2.39661,3.10636,2.33459,52,52,52,52,52,52,85.9032,91.3509,93.7955,101.393,106.53,110.652,21.9102,25.3217,42.4732,55.8981,61.3941,66.3807,69.5576,8,5,6.96103,12.1959,17.7148,20.1172,1.04842,1.07401,1.84133818,2.78725743,3.8518864,2.101131,20,25,30,30,35,40
32,8.18174,9.87251,18.2932,21.655,24.9176,24.7667,0,0,0,0.636087,5.34699,8.01104,0.0975272,0.94517,8.47297,11.3292,15.588,16.6872,1.375,1.4905,2.56262,3.34034,2.87648,2.26512,52,52,52,52,52,52,90.8254,96.7654,99.8699,107.001,113.353,120.133,41.5991,45.9126,61.3105,68.7754,74.9064,83.4399,88.3307,8.0975272,5.94517,9.47297,15.3292,21.588,23.6872,1.375,1.4905,2.87782226,3.88481542,3.5668352,2.038608,20,25,30,30,35,40
